"","year","variety_id","region","location"
"2035",1997,"kruger_seed_co-K_3404","region2","monmouth"
"2057",1997,"wilken_seed_grains-3431_CN","region2","monmouth"
"2058",1997,"wilken_seed_grains-3431_CN","region2","urbana"
"2061",1997,"agratech-AT_345","region2","monmouth"
"2072",1997,"pioneer-93B83","region2","monmouth"
"2073",1997,"pioneer-93B83","region2","urbana"
"2074",1997,"growmark-HT_361","region2","urbana"
"2077",1997,"kruger_seed_co-K_3404","region2","urbana"
"2078",1997,"mavrick-8333_N","region2","monmouth"
"2079",1997,"mavrick-8333_N","region2","urbana"
"2080",1997,"crows_hybrid_corn_co-33004","region2","monmouth"
"2081",1997,"crows_hybrid_corn_co-33004","region2","urbana"
"2082",1997,"kruger_seed_co-K_3939+","region2","monmouth"
"2083",1997,"uap_seeds-DG_3331_N","region2","monmouth"
"2084",1997,"uap_seeds-DG_3331_N","region2","urbana"
"2085",1997,"prairie_stream_farms-PSF_317","region2","monmouth"
"2086",1997,"prairie_stream_farms-PSF_317","region2","urbana"
"2087",1997,"uap_seeds-DG_3315","region2","monmouth"
"2088",1997,"uap_seeds-DG_3315","region2","urbana"
"2089",1997,"twin_states_seed_co-TS_337","region2","monmouth"
"2090",1997,"twin_states_seed_co-TS_337","region2","urbana"
"2091",1997,"uap_seeds-DG_3304","region2","monmouth"
"2092",1997,"uap_seeds-DG_3304","region2","urbana"
"2093",1997,"terra_international-TS_315","region2","monmouth"
"2094",1997,"terra_international-TS_315","region2","urbana"
"2095",1997,"gutwein_seeds-7303","region2","monmouth"
"2096",1997,"gutwein_seeds-7303","region2","urbana"
"2102",1997,"agratech-AT_345","region2","urbana"
"2103",1997,"kruger_seed_co-K_3444_SCN","region2","monmouth"
"2104",1997,"kruger_seed_co-K_3444_SCN","region2","urbana"
"2105",1997,"terra_international-TS_325","region2","monmouth"
"2106",1997,"terra_international-TS_325","region2","urbana"
"2107",1997,"illinois_pride_genetics-MAVERICK","region2","monmouth"
"2108",1997,"illinois_pride_genetics-MAVERICK","region2","urbana"
"2109",1997,"terra_international-E_317","region2","monmouth"
"2110",1997,"terra_international-E_317","region2","urbana"
"2111",1997,"garst_seed_co-D_331","region2","monmouth"
"2112",1997,"garst_seed_co-D_331","region2","urbana"
"2123",1997,"wilken_seed_grains-WE_457","region2","urbana"
"2124",1997,"twin_states_seed_co-TS_397","region2","urbana"
"2125",1997,"kruger_seed_co-K_3230+","region2","monmouth"
"2126",1997,"kruger_seed_co-K_3230+","region2","urbana"
"2127",1997,"lg_seeds-LG_6369","region2","monmouth"
"2128",1997,"lg_seeds-LG_6369","region2","urbana"
"2129",1997,"callahan_seeds-7388","region2","monmouth"
"2130",1997,"callahan_seeds-7388","region2","urbana"
"2131",1997,"callahan_seeds-7317","region2","monmouth"
"2132",1997,"callahan_seeds-7317","region2","urbana"
"2133",1997,"crows_hybrid_corn_co-32003","region2","monmouth"
"2134",1997,"crows_hybrid_corn_co-32003","region2","urbana"
"2135",1997,"callahan_seeds-6330","region2","monmouth"
"2136",1997,"callahan_seeds-6330","region2","urbana"
"2137",1997,"growmark-E_3971","region2","monmouth"
"2138",1997,"growmark-E_3971","region2","urbana"
"2139",1997,"dairyland_seed_co-DSR_325","region2","monmouth"
"2140",1997,"dairyland_seed_co-DSR_325","region2","urbana"
"2141",1997,"wilken_seed_grains-3406","region2","monmouth"
"2145",1997,"midwest_seed_genetics-G_3242","region2","monmouth"
"2146",1997,"midwest_seed_genetics-G_3242","region2","urbana"
"2147",1997,"griffith_seed_co-PL_3033","region2","monmouth"
"2148",1997,"griffith_seed_co-PL_3033","region2","urbana"
"2155",1997,"stine_seed_co-3380","region2","urbana"
"2156",1997,"growmark-HT_361","region2","monmouth"
"2157",1997,"garst_seed_co-EX_7346","region3","perry"
"2158",1997,"agratech-AT_345","region3","monmouth"
"2159",1997,"agratech-AT_345","region3","perry"
"2160",1997,"kruger_seed_co-K_3333+","region3","monmouth"
"2161",1997,"kruger_seed_co-K_3333+","region3","perry"
"2162",1997,"agratech-AT_310","region3","monmouth"
"2163",1997,"agratech-AT_310","region3","perry"
"2164",1997,"callahan_seeds-7317","region3","monmouth"
"2165",1997,"kruger_seed_co-K_3939+","region2","urbana"
"2166",1997,"latham_seed_co-962","region2","monmouth"
"2167",1997,"latham_seed_co-962","region2","urbana"
"2168",1997,"kruger_seed_co-K_3132","region2","monmouth"
"2169",1997,"kruger_seed_co-K_3132","region2","urbana"
"2170",1997,"kruger_seed_co-K_3333+","region2","monmouth"
"2171",1997,"kruger_seed_co-K_3333+","region2","urbana"
"2172",1997,"twin_states_seed_co-TS_367","region2","monmouth"
"2173",1997,"twin_states_seed_co-TS_367","region2","urbana"
"2174",1997,"pioneer-9352","region2","monmouth"
"2175",1997,"pioneer-9352","region2","urbana"
"2176",1997,"kruger_seed_co-K_3434_A","region2","monmouth"
"2177",1997,"kruger_seed_co-K_3434_A","region2","urbana"
"2178",1997,"great_lakes_hybrids-GL_3141","region2","monmouth"
"2179",1997,"great_lakes_hybrids-GL_3141","region2","urbana"
"2180",1997,"golden_harvest-H_1322","region2","monmouth"
"2181",1997,"golden_harvest-H_1322","region2","urbana"
"2182",1997,"wilken_seed_grains-3406","region2","urbana"
"2183",1997,"dekalb_genetics_corp-CX_348","region2","monmouth"
"2184",1997,"dekalb_genetics_corp-CX_348","region2","urbana"
"2185",1997,"mavrick-7300","region2","monmouth"
"2186",1997,"mavrick-7300","region2","urbana"
"2187",1997,"agratech-AT_396","region2","monmouth"
"2188",1997,"agratech-AT_396","region2","urbana"
"2189",1997,"golden_harvest-H_1394","region2","monmouth"
"2190",1997,"golden_harvest-H_1394","region2","urbana"
"2191",1997,"terra_international-TS_357","region2","monmouth"
"2192",1997,"terra_international-TS_357","region2","urbana"
"2193",1997,"golden_harvest-H_1365","region2","monmouth"
"2194",1997,"stine_seed_co-3380","region2","monmouth"
"2218",1997,"growmark-E_3071","region2","monmouth"
"2219",1997,"growmark-E_3071","region2","urbana"
"2220",1997,"prairie_stream_farms-PSF_337_N","region2","monmouth"
"2221",1997,"prairie_stream_farms-PSF_337_N","region2","urbana"
"2222",1997,"prairie_brand_seed_co-PB_330","region2","monmouth"
"2223",1997,"prairie_brand_seed_co-PB_330","region2","urbana"
"2224",1997,"kruger_seed_co-KB_3505","region2","monmouth"
"2225",1997,"kruger_seed_co-KB_3505","region2","urbana"
"2230",1997,"agripro_seeds-AP_3868","region2","monmouth"
"2231",1997,"agripro_seeds-AP_3868","region2","urbana"
"2232",1997,"kruger_seed_co-K_3303","region2","monmouth"
"2233",1997,"kruger_seed_co-K_3303","region2","urbana"
"2234",1997,"lg_seeds-LG_6395","region2","monmouth"
"2235",1997,"lg_seeds-LG_6395","region2","urbana"
"2236",1997,"gutwein_seeds-7333","region2","monmouth"
"2237",1997,"gutwein_seeds-7333","region2","urbana"
"2238",1997,"wilken_seed_grains-WE_456","region2","monmouth"
"2239",1997,"wilken_seed_grains-WE_456","region2","urbana"
"2240",1997,"golden_harvest-H_1316","region2","monmouth"
"2241",1997,"golden_harvest-H_1316","region2","urbana"
"2242",1997,"garst_seed_co-D_308","region2","monmouth"
"2243",1997,"garst_seed_co-D_308","region2","urbana"
"2244",1997,"twin_states_seed_co-TS_397","region2","monmouth"
"2275",1997,"golden_harvest-H_1365","region2","urbana"
"2276",1997,"merschman_seeds-HARRISON_IV","region2","monmouth"
"2277",1997,"merschman_seeds-HARRISON_IV","region2","urbana"
"2278",1997,"stine_seed_co-3581","region2","monmouth"
"2279",1997,"stine_seed_co-3581","region2","urbana"
"2303",1997,"kruger_seed_co-K_3222","region2","monmouth"
"2304",1997,"kruger_seed_co-K_3222","region2","urbana"
"2305",1997,"lewis_hybrids-310","region2","monmouth"
"2306",1997,"lewis_hybrids-310","region2","urbana"
"2307",1997,"kruger_seed_co-K_3555","region2","monmouth"
"2308",1997,"kruger_seed_co-K_3555","region2","urbana"
"2309",1997,"dekalb_genetics_corp-CX_339_C","region2","monmouth"
"2310",1997,"dekalb_genetics_corp-CX_339_C","region2","urbana"
"2311",1997,"kruger_seed_co-K_3132+","region2","monmouth"
"2312",1997,"kruger_seed_co-K_3132+","region2","urbana"
"2313",1997,"growmark-HS_3551","region2","monmouth"
"2314",1997,"growmark-HS_3551","region2","urbana"
"2315",1997,"kruger_seed_co-K_3505+","region2","monmouth"
"2316",1997,"kruger_seed_co-K_3505+","region2","urbana"
"2317",1997,"merschman_seeds-TRUMAN_V","region2","monmouth"
"2318",1997,"merschman_seeds-TRUMAN_V","region2","urbana"
"2319",1997,"midwest_seed_genetics-G_3141","region2","monmouth"
"2320",1997,"midwest_seed_genetics-G_3141","region2","urbana"
"2321",1997,"merschman_seeds-EISENHOWER_IV","region2","monmouth"
"2322",1997,"merschman_seeds-EISENHOWER_IV","region2","urbana"
"2323",1997,"uap_seeds-DG_3378_N","region2","monmouth"
"2324",1997,"uap_seeds-DG_3378_N","region2","urbana"
"2325",1997,"growmark-HS_3362","region2","monmouth"
"2326",1997,"growmark-HS_3362","region2","urbana"
"2327",1997,"kruger_seed_co-KB_3313","region2","monmouth"
"2328",1997,"kruger_seed_co-KB_3313","region2","urbana"
"2329",1997,"agratech-AT_333","region2","monmouth"
"2330",1997,"agratech-AT_333","region2","urbana"
"2331",1997,"golden_harvest-H_1337","region2","monmouth"
"2332",1997,"golden_harvest-H_1337","region2","urbana"
"2333",1997,"wilken_seed_grains-3414","region2","monmouth"
"2334",1997,"wilken_seed_grains-3414","region2","urbana"
"2335",1997,"crows_hybrid_corn_co-33003","region2","monmouth"
"2336",1997,"crows_hybrid_corn_co-33003","region2","urbana"
"2337",1997,"hoblit_seed_co-HB_333","region2","monmouth"
"2338",1997,"hoblit_seed_co-HB_333","region2","urbana"
"2347",1997,"kruger_seed_co-K_3132","region3","perry"
"2348",1997,"merschman_seeds-HARRISON_IV","region3","monmouth"
"2349",1997,"merschman_seeds-HARRISON_IV","region3","perry"
"2350",1997,"callahan_seeds-7383","region3","monmouth"
"2351",1997,"callahan_seeds-7383","region3","perry"
"2352",1997,"growmark-E_3971","region3","monmouth"
"2353",1997,"growmark-E_3971","region3","perry"
"2354",1997,"uap_seeds-DG_3395","region3","monmouth"
"2355",1997,"uap_seeds-DG_3395","region3","perry"
"2356",1997,"mavrick-7300","region3","monmouth"
"2357",1997,"mavrick-7300","region3","perry"
"2358",1997,"kruger_seed_co-K_3919","region3","monmouth"
"2359",1997,"kruger_seed_co-K_3919","region3","perry"
"2360",1997,"wilken_seed_grains-WE_457","region3","monmouth"
"2361",1997,"wilken_seed_grains-WE_457","region3","perry"
"2362",1997,"pioneer-93B83","region3","monmouth"
"2363",1997,"pioneer-93B83","region3","perry"
"2364",1997,"wilken_seed_grains-3431_CN","region3","monmouth"
"2365",1997,"wilken_seed_grains-3431_CN","region3","perry"
"2366",1997,"stine_seed_co-3581","region3","monmouth"
"2367",1997,"stine_seed_co-3581","region3","perry"
"2368",1997,"kruger_seed_co-K_3606","region3","monmouth"
"2369",1997,"kruger_seed_co-K_3606","region3","perry"
"2370",1997,"golden_harvest-H_1353","region3","monmouth"
"2371",1997,"golden_harvest-H_1353","region3","perry"
"2372",1997,"dekalb_genetics_corp-CX_348","region3","monmouth"
"2373",1997,"dekalb_genetics_corp-CX_348","region3","perry"
"2374",1997,"agripro_seeds-AP_3880","region3","monmouth"
"2375",1997,"agripro_seeds-AP_3880","region3","perry"
"2376",1997,"growmark-HS_3551","region3","monmouth"
"2377",1997,"growmark-HS_3551","region3","perry"
"2378",1997,"agripro_seeds-AP_3616","region3","monmouth"
"2379",1997,"agripro_seeds-AP_3616","region3","perry"
"2380",1997,"merschman_seeds-MADISON_V","region3","monmouth"
"2381",1997,"merschman_seeds-MADISON_V","region3","perry"
"2382",1997,"pioneer-93B41","region3","monmouth"
"2383",1997,"pioneer-93B41","region3","perry"
"2384",1997,"stine_seed_co-3160","region3","monmouth"
"2385",1997,"stine_seed_co-3160","region3","perry"
"2386",1997,"lewis_hybrids-360","region3","monmouth"
"2387",1997,"lewis_hybrids-360","region3","perry"
"2388",1997,"illinois_pride_genetics-SALINE","region3","monmouth"
"2389",1997,"illinois_pride_genetics-SALINE","region3","perry"
"2390",1997,"stone_seed_group-SE_3897","region3","monmouth"
"2391",1997,"stone_seed_group-SE_3897","region3","perry"
"2392",1997,"illinois_pride_genetics-MAVERICK","region3","monmouth"
"2393",1997,"illinois_pride_genetics-MAVERICK","region3","perry"
"2394",1997,"growmark-HS_3361","region3","monmouth"
"2395",1997,"growmark-HS_3361","region3","perry"
"2408",1997,"callahan_seeds-7317","region3","perry"
"2409",1997,"wilken_seed_grains-3468","region3","monmouth"
"2410",1997,"wilken_seed_grains-3468","region3","perry"
"2411",1997,"golden_harvest-H_1365","region3","monmouth"
"2412",1997,"golden_harvest-H_1365","region3","perry"
"2413",1997,"callahan_seeds-8363_X","region3","monmouth"
"2414",1997,"callahan_seeds-8363_X","region3","perry"
"2415",1997,"pioneer-9352","region3","monmouth"
"2416",1997,"pioneer-9352","region3","perry"
"2417",1997,"wilken_seed_grains-3494","region3","monmouth"
"2418",1997,"wilken_seed_grains-3494","region3","perry"
"2419",1997,"kruger_seed_co-K_3232+","region3","monmouth"
"2420",1997,"kruger_seed_co-K_3232+","region3","perry"
"2421",1997,"stine_seed_co-3683","region3","monmouth"
"2422",1997,"stine_seed_co-3683","region3","perry"
"2423",1997,"kruger_seed_co-K_3230+","region3","monmouth"
"2460",1997,"agratech-AT_324","region3","perry"
"2461",1997,"stine_seed_co-3660","region3","monmouth"
"2462",1997,"stine_seed_co-3660","region3","perry"
"2463",1997,"becks_hybrids-351","region3","monmouth"
"2464",1997,"becks_hybrids-351","region3","perry"
"2465",1997,"kruger_seed_co-KB_3313","region3","monmouth"
"2466",1997,"kruger_seed_co-KB_3313","region3","perry"
"2467",1997,"kruger_seed_co-K_3132","region3","monmouth"
"2468",1997,"twin_states_seed_co-TS_316","region2","monmouth"
"2469",1997,"twin_states_seed_co-TS_316","region2","urbana"
"2470",1997,"crows_hybrid_corn_co-38004","region2","monmouth"
"2471",1997,"crows_hybrid_corn_co-38004","region2","urbana"
"2472",1997,"stone_seed_group-SE_3897","region2","monmouth"
"2473",1997,"stone_seed_group-SE_3897","region2","urbana"
"2517",1997,"kruger_seed_co-K_3444_SCN","region3","monmouth"
"2518",1997,"kruger_seed_co-K_3444_SCN","region3","perry"
"2519",1997,"terra_international-E_364_T","region3","monmouth"
"2520",1997,"terra_international-E_364_T","region3","perry"
"2521",1997,"terra_international-TS_364","region3","monmouth"
"2522",1997,"terra_international-TS_364","region3","perry"
"2523",1997,"wilken_seed_grains-WE_308","region2","monmouth"
"2524",1997,"wilken_seed_grains-WE_308","region2","urbana"
"2525",1997,"diener_seeds-DB_377","region2","monmouth"
"2526",1997,"diener_seeds-DB_377","region2","urbana"
"2527",1997,"becks_hybrids-351","region2","monmouth"
"2528",1997,"becks_hybrids-351","region2","urbana"
"2529",1997,"wilken_seed_grains-3468","region2","monmouth"
"2530",1997,"wilken_seed_grains-3468","region2","urbana"
"2531",1997,"agripro_seeds-AP_3616","region2","monmouth"
"2532",1997,"agripro_seeds-AP_3616","region2","urbana"
"2533",1997,"agripro_seeds-AP_3880","region2","monmouth"
"2534",1997,"agripro_seeds-AP_3880","region2","urbana"
"2535",1997,"kruger_seed_co-K_3525","region2","monmouth"
"2536",1997,"kruger_seed_co-K_3525","region2","urbana"
"2537",1997,"merschman_seeds-FILLMORE_IV","region2","monmouth"
"2538",1997,"merschman_seeds-FILLMORE_IV","region2","urbana"
"2539",1997,"midwest_seed_genetics-G_3300","region2","monmouth"
"2540",1997,"midwest_seed_genetics-G_3300","region2","urbana"
"2541",1997,"gutwein_seeds-7346","region2","monmouth"
"2542",1997,"gutwein_seeds-7346","region2","urbana"
"2543",1997,"kruger_seed_co-K_3769+","region2","monmouth"
"2544",1997,"kruger_seed_co-K_3769+","region2","urbana"
"2545",1997,"kruger_seed_co-K_3230+","region3","perry"
"2546",1997,"becks_hybrids-386","region3","monmouth"
"2547",1997,"becks_hybrids-386","region3","perry"
"2548",1997,"crows_hybrid_corn_co-33003","region3","monmouth"
"2549",1997,"crows_hybrid_corn_co-33003","region3","perry"
"2550",1997,"mavrick-7323","region3","monmouth"
"2551",1997,"mavrick-7323","region3","perry"
"2552",1997,"lg_seeds-LG_6339","region3","monmouth"
"2553",1997,"lg_seeds-LG_6339","region3","perry"
"2554",1997,"kruger_seed_co-K_3555","region3","monmouth"
"2555",1997,"kruger_seed_co-K_3555","region3","perry"
"2556",1997,"merschman_seeds-FILLMORE_IV","region3","monmouth"
"2557",1997,"merschman_seeds-FILLMORE_IV","region3","perry"
"2558",1997,"agratech-AT_396","region3","monmouth"
"2559",1997,"agratech-AT_396","region3","perry"
"2560",1997,"stine_seed_co-3480","region3","monmouth"
"2561",1997,"stine_seed_co-3480","region3","perry"
"2562",1997,"lewis_hybrids-363","region3","monmouth"
"2563",1997,"lewis_hybrids-363","region3","perry"
"2564",1997,"kruger_seed_co-K_3769+","region3","monmouth"
"2565",1997,"kruger_seed_co-K_3769+","region3","perry"
"2566",1997,"great_lakes_hybrids-GL_3141","region3","monmouth"
"2567",1997,"great_lakes_hybrids-GL_3141","region3","perry"
"2568",1997,"uap_seeds-DG_3378_N","region3","monmouth"
"2569",1997,"uap_seeds-DG_3378_N","region3","perry"
"2570",1997,"agratech-AT_335","region3","monmouth"
"2571",1997,"agratech-AT_335","region3","perry"
"2572",1997,"crows_hybrid_corn_co-38004","region3","monmouth"
"2573",1997,"crows_hybrid_corn_co-38004","region3","perry"
"2574",1997,"kscchallenger-K_3505+","region3","monmouth"
"2575",1997,"kscchallenger-K_3505+","region3","perry"
"2576",1997,"wilken_seed_grains-WE_456","region3","monmouth"
"2577",1997,"wilken_seed_grains-WE_456","region3","perry"
"2578",1997,"griffith_seed_co-PL_3305_N","region3","monmouth"
"2579",1997,"griffith_seed_co-PL_3305_N","region3","perry"
"2580",1997,"agratech-AT_324","region3","monmouth"
"2581",1997,"merschman_seeds-MADISON_V","region2","monmouth"
"2582",1997,"merschman_seeds-MADISON_V","region2","urbana"
"2583",1997,"prairie_stream_farms-PSF_327","region2","monmouth"
"2584",1997,"prairie_stream_farms-PSF_327","region2","urbana"
"2585",1997,"griffith_seed_co-PL_3216","region2","monmouth"
"2586",1997,"griffith_seed_co-PL_3216","region2","urbana"
"2587",1997,"gma_seed_co-SVI_3020","region2","monmouth"
"2588",1997,"gma_seed_co-SVI_3020","region2","urbana"
"2609",1997,"wilken_seed_grains-WE_457","region2","monmouth"
"2643",1997,"garst_seed_co-EX_7346","region3","monmouth"
"2666",1997,"pioneer-93B41","region2","monmouth"
"2667",1997,"pioneer-93B41","region2","urbana"
"2668",1997,"growmark-HS_3361","region2","monmouth"
"2669",1997,"growmark-HS_3361","region2","urbana"
"2670",1997,"kscchallenger-K_3505+","region2","monmouth"
