"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",3915.45710963467,18.8429352165838,207.79443672813,0
"relevel(as.factor(first_year), ""1997"")1995",26.181125319566,37.9674624219349,0.689567425618638,0.490473099227036
"relevel(as.factor(first_year), ""1997"")1996",65.1633688554677,31.5701366415487,2.06408257256979,0.0390208904194234
"relevel(as.factor(first_year), ""1997"")1998",99.6173790025336,27.5038564046224,3.62194223010093,0.000293017814921879
"relevel(as.factor(first_year), ""1997"")1999",39.0119613337029,27.4769821734958,1.41980516955511,0.155677737595552
"relevel(as.factor(first_year), ""1997"")2000",222.686312562892,22.8183465340966,9.75909066111079,1.86159254197345e-22
"relevel(as.factor(first_year), ""1997"")2001",-3.9419810725097,42.8556755667529,-0.0919827075498922,0.9267125664759
"relevel(as.factor(first_year), ""1997"")2002",-38.3669241640115,53.1442446750852,-0.721939400937585,0.47033895286535
"relevel(as.factor(first_year), ""1997"")2003",-370.886082847958,45.9067576001692,-8.07911737261512,6.83655118755026e-16
"relevel(as.factor(first_year), ""1997"")2004",335.296862118948,57.3713082069212,5.84433007714644,5.15358199142759e-09
"relevel(as.factor(first_year), ""1997"")2005",40.9153347634925,54.8177699577955,0.746388165643976,0.455440467984237
"relevel(as.factor(first_year), ""1997"")2006",105.797973688264,90.0864610187426,1.17440481612718,0.240244874098828
"relevel(as.factor(first_year), ""1997"")2007",-290.407324117283,61.2395394538879,-4.74215395326338,2.12703723284035e-06
"relevel(as.factor(first_year), ""1997"")2008",-61.8810434542104,65.079284977872,-0.950856228295239,0.341687189765816
"relevel(as.factor(first_year), ""1997"")2009",169.505306007932,45.306386967525,3.74131148726185,0.000183499743796576
"relevel(as.factor(first_year), ""1997"")2010",-31.3516818922812,59.5865930873935,-0.526153288312671,0.598786695178627
"relevel(as.factor(first_year), ""1997"")2011",362.855762182932,105.923444805247,3.42564163061432,0.000614402515057621
"relevel(as.factor(first_year), ""1997"")2012",58.8369983948217,57.3713082068869,1.02554744233214,0.305115558169361
"relevel(as.factor(first_year), ""1997"")2013",391.388136449345,82.1344504087772,4.76521282484311,1.89786917298818e-06
"relevel(as.factor(first_year), ""1997"")2014",600.66245352815,74.3554461698571,8.07825767269288,6.88477462073796e-16
"relevel(as.factor(first_year), ""1997"")2015",1087.08889178562,46.9786878111484,23.1400437610273,3.79023935267784e-117
"relevel(as.factor(first_year), ""1997"")2016",1274.35471728805,81.3828229548178,15.6587676738068,5.50794740859286e-55
"relevel(as.factor(first_year), ""1997"")2017",1315.17690425395,135.878338207264,9.67907704499471,4.07144131426962e-22
"relevel(as.factor(first_year), ""1997"")2018",1186.89395558252,86.2597422479645,13.7595351510632,6.56079090669084e-43
"relevel(as.factor(first_year), ""1997"")2019",835.853774624329,79.9438036146175,10.4555167108848,1.57381737056479e-25
"relevel(as.factor(first_year), ""1997"")2020",1088.85450147621,135.878338207257,8.01345170865547,1.16708397621385e-15
"GETrue",-441.153984636551,118.050650770624,-3.73698901070632,0.000186679992236587
"relevel(as.factor(first_year), ""1997"")1995:GETrue",481.724499682261,176.973184608064,2.72201972716441,0.00649323163622108
