"","Estimate","Cluster s.e.","t value","Pr(>|t|)"
"relevel(as.factor(first_year), ""1997"")1995",-67.2352851924218,43.9777418270294,-1.52884805811239,0.147113722788198
"relevel(as.factor(first_year), ""1997"")1996",92.3938875029149,20.1188472624925,4.59240463916463,0.000352248650654514
"relevel(as.factor(first_year), ""1997"")1998",23.1457370603679,47.61687005216,0.48608270629745,0.633933078294997
"relevel(as.factor(first_year), ""1997"")1999",29.9680514560097,68.8820441023359,0.43506332958829,0.669711041543382
"relevel(as.factor(first_year), ""1997"")2000",61.4582162293125,62.7049835055808,0.980116934786255,0.342573000827364
"relevel(as.factor(first_year), ""1997"")2001",251.440414264281,91.3598221895288,2.75219903277242,0.0148205010660958
"relevel(as.factor(first_year), ""1997"")2002",78.5822551708298,82.9143412084667,0.947752270903957,0.358275331466019
"relevel(as.factor(first_year), ""1997"")2003",229.093519391884,78.7971056000601,2.90738495592291,0.0108312247745017
"relevel(as.factor(first_year), ""1997"")2004",220.845345476466,50.8285348796068,4.3449087407214,0.000577281649075622
"relevel(as.factor(first_year), ""1997"")2005",246.493583887525,55.0947498087414,4.47399406918471,0.000445831109917675
"relevel(as.factor(first_year), ""1997"")2006",180.671320915804,70.051923450293,2.57910578349792,0.0209518773812125
"relevel(as.factor(first_year), ""1997"")2007",82.8802232473593,92.1172664175575,0.899725170650118,0.382483745394327
"relevel(as.factor(first_year), ""1997"")2008",73.3044753566218,95.3206251342935,0.769030577100664,0.453814696448574
"relevel(as.factor(first_year), ""1997"")2009",34.0850538317805,87.321890540755,0.390338019718804,0.701773865136602
"relevel(as.factor(first_year), ""1997"")2010",136.418024841557,112.565369316498,1.21190047765039,0.244295641599291
"relevel(as.factor(first_year), ""1997"")2011",185.60565171688,144.458797297769,1.28483453544401,0.218337077025879
"relevel(as.factor(first_year), ""1997"")2012",141.664055561538,132.223487565024,1.07139857048372,0.300926772865869
"relevel(as.factor(first_year), ""1997"")2013",572.605375953043,89.2936370369081,6.41261118881703,1.16811819224895e-05
"relevel(as.factor(first_year), ""1997"")2014",540.694442012616,106.60713842069,5.07184087315938,0.000137832436641026
"relevel(as.factor(first_year), ""1997"")2015",776.233470379526,136.808854000541,5.67385405023901,4.41663566149914e-05
"relevel(as.factor(first_year), ""1997"")2016",776.425803838093,128.731683069283,6.03134974488155,2.29888176719359e-05
"relevel(as.factor(first_year), ""1997"")2017",734.80357588235,192.54504810914,3.81626836471974,0.00168621205368409
"relevel(as.factor(first_year), ""1997"")2018",646.094992672178,150.376386557581,4.29651893799681,0.000636243991369316
"relevel(as.factor(first_year), ""1997"")2019",718.539276601119,154.93185200045,4.63777633406868,0.000321964446010385
"relevel(as.factor(first_year), ""1997"")2020",1189.97167619964,112.677964569685,10.5608197729176,2.42601564183602e-08
"height",13.7687035031512,7.16228499986006,1.92238978250939,0.0737579061780312
"lodging_comb",-54.6915810474139,33.6168157219634,-1.62691140944921,0.1245748219249
"scn_resist",51.1583598666377,20.6291600605459,2.47990513023747,0.0254963645870949
"seed_treated",5.5536567111123,12.1199264679499,0.458225280970019,0.653358992557622
"tmin_5",-96233.1288107591,353218.257690764,-0.272446643726467,0.788993309801554
"tmin_6",554242.710916065,373363.566314048,1.48445847672741,0.158396704206049
"tmin_7",-291129.094120077,358320.507811127,-0.812482366411284,0.429221831498792
"tmin_8",172661.867919498,232760.876523534,0.741799354334533,0.469665283076222
"tmin_9",5498.37880747332,335193.996535746,0.0164035718548049,0.987128629115559
"tmax_5",-96550.2794464965,353219.994693226,-0.273343188089766,0.788317114412541
"tmax_6",554078.888156836,373357.10522176,1.48404538284529,0.158505010005533
"tmax_7",-290825.954825786,358352.883243971,-0.81156303862578,0.429733172845507
"tmax_8",172678.207570767,232789.461098753,0.741778458336281,0.469677574471077
"tmax_9",5319.13766926673,335188.583550541,0.0158690896119518,0.987547982468046
"tmean_5",192813.877276008,706450.813982755,0.272933194299801,0.788626319830011
"tmean_6",-1108157.12530537,746715.036187699,-1.48404286990521,0.158505669042317
"tmean_7",581949.849508878,716673.40770109,0.812015407932643,0.429481510768865
"tmean_8",-345506.629852654,465568.788723444,-0.742117251459249,0.469478314556304
"tmean_9",-10772.0249449421,670383.952820171,-0.0160684409279582,0.987391571502898
"ppt_may",79.1438589798308,37.6412455039896,2.10258342730562,0.0527979452231094
"ppt_june",108.513143246079,36.1480757597093,3.00190649060849,0.00893797151903483
"ppt_july",166.034741610754,31.3090311247677,5.30309420783731,8.85271735778531e-05
"ppt_aug",75.8887963918276,43.5424802242421,1.7428680222395,0.101813169774752
"ppt_sept",6.19672310401288,36.8708645517026,0.168065576420739,0.868776775454344
"ppt_may_sqr",-6.41561693395068,3.24355532163082,-1.97795822724706,0.0666040398218773
"ppt_june_sqr",-7.38092706663608,3.77073740007577,-1.95742272227384,0.0691711964326329
"ppt_july_sqr",-14.7660453477035,2.86257754023715,-5.15830405994179,0.000116713131265845
"ppt_aug_sqr",-2.80803550825126,3.77960513816547,-0.742944145116232,0.468992196553096
"ppt_sept_sqr",-0.328767764133921,3.35883124903129,-0.0978815962334339,0.923322291098643
