"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",679.026109237945,22.2851793372988,30.4698516875499,1.82052466671911e-179
"relevel(as.factor(first_year), ""1997"")1995",-92.9860350584607,47.2740042880865,-1.96695914506853,0.0492733682704638
"relevel(as.factor(first_year), ""1997"")1996",88.555125877135,38.3141950420939,2.31128765147862,0.0208796065256227
"relevel(as.factor(first_year), ""1997"")1998",117.668769449661,34.3158044443033,3.42899638680027,0.00061340265856453
"relevel(as.factor(first_year), ""1997"")1999",147.529543205659,28.4547075895041,5.18471478723181,2.29651806021664e-07
"relevel(as.factor(first_year), ""1997"")2000",137.027251937514,29.0879534900083,4.71079039591363,2.57161607322423e-06
"relevel(as.factor(first_year), ""1997"")2001",334.840941864686,30.1571261170152,11.1032112465041,3.88178245940409e-28
"relevel(as.factor(first_year), ""1997"")2002",129.522951258317,31.7593732902744,4.07825904102398,4.64692270382801e-05
"relevel(as.factor(first_year), ""1997"")2003",280.54043659944,28.3774903126524,9.88601999361298,1.00261479097279e-22
"relevel(as.factor(first_year), ""1997"")2004",252.621808914924,28.5072971929514,8.86165416542494,1.27596034261348e-18
"relevel(as.factor(first_year), ""1997"")2005",311.624764424237,29.2175522361536,10.6656697968913,3.98740240359207e-26
"relevel(as.factor(first_year), ""1997"")2006",275.967258162803,30.515238552716,9.04358842504411,2.55377604914599e-19
"relevel(as.factor(first_year), ""1997"")2007",131.301906886471,30.03088885833,4.37222845803481,1.2686460055467e-05
"relevel(as.factor(first_year), ""1997"")2008",174.307078591048,30.5623559668749,5.70332597329769,1.28078025957454e-08
"relevel(as.factor(first_year), ""1997"")2009",161.976427164389,28.4808893158685,5.68719696102121,1.40644724008686e-08
"relevel(as.factor(first_year), ""1997"")2010",267.208823474237,30.7070740028511,8.70186535680433,5.1117376440267e-18
"relevel(as.factor(first_year), ""1997"")2011",263.748114128645,32.8809582105694,8.02130255571033,1.44943824997105e-15
"relevel(as.factor(first_year), ""1997"")2012",162.869135794895,31.6973044667034,5.13826454757319,2.93743506517032e-07
"relevel(as.factor(first_year), ""1997"")2013",574.090606771013,36.5065269413533,15.725697700394,9.45087538991685e-54
"relevel(as.factor(first_year), ""1997"")2014",560.449594833741,36.2226742767383,15.4723417313684,3.78561874257976e-52
"relevel(as.factor(first_year), ""1997"")2015",832.11089437964,32.150191218497,25.8819889662398,2.18948811213388e-134
"relevel(as.factor(first_year), ""1997"")2016",747.417402832319,35.9504195241099,20.7902275613521,3.31811690205825e-90
"relevel(as.factor(first_year), ""1997"")2017",876.558580155579,40.2013596773071,21.8042023252855,1.90240857724735e-98
"relevel(as.factor(first_year), ""1997"")2018",731.145320913581,42.6340584302003,17.1493249255311,3.66129978868011e-63
"relevel(as.factor(first_year), ""1997"")2019",921.528593586875,43.6117442842517,21.1302851722819,6.16237817333322e-93
"relevel(as.factor(first_year), ""1997"")2020",1430.26471514649,48.8243816843453,29.2940671403336,1.68949111380514e-167
