"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",2608.85124991137,13.973699805092,186.697244559434,0
"relevel(as.factor(first_year), ""1997"")1995",19.3676667260333,25.4012031163656,0.762470448242471,0.445843729294771
"relevel(as.factor(first_year), ""1997"")1996",22.7082180873273,25.2120520804962,0.900689004402548,0.367831434356546
"relevel(as.factor(first_year), ""1997"")1998",-3.57939893513688,19.2917182160584,-0.185540701717144,0.852818446186241
"relevel(as.factor(first_year), ""1997"")1999",-79.4599053387375,17.3611045021277,-4.57689228983095,4.92571754165507e-06
"relevel(as.factor(first_year), ""1997"")2000",83.7971150283648,17.1551114157426,4.88467331966539,1.09448771680719e-06
"relevel(as.factor(first_year), ""1997"")2001",14.1455216653902,17.4578804451821,0.810265696904463,0.417856590551284
"relevel(as.factor(first_year), ""1997"")2002",-58.165255774237,18.2551649820289,-3.18623555752561,0.00145728603059113
"relevel(as.factor(first_year), ""1997"")2003",-122.882084694417,17.3768547734857,-7.07159530860068,1.9281751014073e-12
"relevel(as.factor(first_year), ""1997"")2004",-66.782337350122,18.1809082757524,-3.67321237955909,0.000244021159316612
"relevel(as.factor(first_year), ""1997"")2005",-43.7481394262262,18.0399688766749,-2.42506734492159,0.0153686330403739
"relevel(as.factor(first_year), ""1997"")2006",-65.5474874794945,19.715569294703,-3.32465608777045,0.000896721592740623
"relevel(as.factor(first_year), ""1997"")2007",-45.1851873891308,19.3712937009705,-2.33258491077789,0.0197407073557083
"relevel(as.factor(first_year), ""1997"")2008",-44.8268090377819,19.5813189797302,-2.28926402170277,0.0221383898105085
"relevel(as.factor(first_year), ""1997"")2009",-147.296628022692,19.5813189797299,-7.52230369032699,7.21450866195842e-14
"relevel(as.factor(first_year), ""1997"")2010",-121.04025343796,19.5379856668023,-6.19512448735306,6.68266812190822e-10
"relevel(as.factor(first_year), ""1997"")2011",199.02783167377,20.6839610601736,9.62232674364259,1.38697698488105e-21
"relevel(as.factor(first_year), ""1997"")2012",106.471893568231,20.5600338836035,5.17858551065626,2.39485551865455e-07
"relevel(as.factor(first_year), ""1997"")2013",239.381914879028,23.7670293726938,10.0720166212298,1.8398487549254e-23
"relevel(as.factor(first_year), ""1997"")2014",231.471398251123,22.6648467039987,10.2127934626748,4.5818272113233e-24
"relevel(as.factor(first_year), ""1997"")2015",140.354826564185,22.0632186001894,6.36148465496234,2.32723322195848e-10
"relevel(as.factor(first_year), ""1997"")2016",176.278321273135,21.8814699981599,8.0560547937574,1.155787314934e-15
"relevel(as.factor(first_year), ""1997"")2017",158.8225009088,22.3527817081445,7.10526783567752,1.51833953113348e-12
"relevel(as.factor(first_year), ""1997"")2018",-49.3212781250735,23.4973743741663,-2.09901231259688,0.0359054654987878
"relevel(as.factor(first_year), ""1997"")2019",-13.3272327754715,21.62421282297,-0.61631065530926,0.537739787789471
"relevel(as.factor(first_year), ""1997"")2020",46.9313509823452,24.5174979292001,1.91419822356548,0.0556970252629364
